ID;Active;Name;Categories;Price;Tax;"Wholesale price";OnSale;Discount;DiscountPercent;DiscountFrom;DiscountTo;Reference;SupplierReference;Supplier;Manufacturer;Ean13;Upc;Ecotax;Width;Height;Depth;Weight;Quantity;MinimalQuantity;Visibility;AdditionalShippingCost;Unity;UnityPrice;ShortDescription;Description;Tags;Metatitle;MetaKeywords;MetaDescription;UrlRewritten;TextStock;TextBackorder;Avaiable;ProductAvaiableDate;ProductCreationDate;ShowPrice;ImageUrls;DeleteExistingImages;Feature;AvaiableOnline;Condition;Customizable;Uploadable;TextFields;OutStock;IdNameShop;AdvancedStockManagement;DependsOnStock;Warehouse
1;1;"Pack saludable Castey Yellow";4;61,01 €;31;61,01 €;0;0;0;0;0;1;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack saludable de Castey Yellow Line que hemos diseñado para ti.
Disfruta ya comiendo cocinando a la plancha, con la me...";"Descubre el nuevo pack saludable de Castey Yellow Line que hemos diseñado para ti.
Disfruta ya comiendo cocinando a la plancha, con la mejor calidad.
Este conjunto Castey incluye:
- Una sartén grill Castey Yellow Line de 27cm.
- Una bandeja asador Castey Yellow de 45cm.
- Un delantal Castey.
Tanto la sartén como el asador tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Yellow de Castey es compatible con cocinas de gas y vitrocerámicas, no es apta para cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack saludable Castey Yellow";"Pack saludable Castey Yellow";"Pack saludable Castey Yellow";"Pack saludable Castey Yellow";;;;1;;;1;;;"Gastos de Envío:Gastos de envío ¡GRATIS! para compras superiores a 89€  exceptuando productos de grandes dimensiones y/o pesos,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
2;1;"Pack pareja Castey Classic Yellow";4;79,37 €;31;79,37 €;0;0;0;0;0;2;;;;;;;;;;;50;1;both;1;;;"El pack de sartenes y cacerolaCastey Yellow Line tiene como toque de distinción, a parte de la calidad indiscutible que te ofrece Castey, la po...";"El pack de sartenes y cacerolaCastey Yellow Line tiene como toque de distinción, a parte de la calidad indiscutible que te ofrece Castey, la posibilidad de escoger el mango que más te guste(en el caso de las sartenes) ya que son desmontables e intercambiables.
La cacerola contiene unas asas extraíbles, ideales para cocinar con seguridad.
Es apta para todo tipo de cocinas, excepto en la cocina de inducción.
El cuerpo de estas sartenes Castey se han manufacturado con aluminio fundido cuyo espesor mejora la elaboración de los alimentos al distribuir de forma homogénea el calor.
La rapidez con la que se calienta y la capacidad para mantener el calor reducen el consumo energético.
También dispone de un fondo difusor de gran espesor para que los alimentos ni se queden poco hechos ni se pasen.
El antiadherente de la cara interior, como siempre en Castey, es de alta calidad para que la limpieza sea fácil y la comida no se pegue.
Por otro lado, Castey ha conseguido que este antiadherente esté libre de sustancias nocivas para el organismo humano como el PFOA y PTFE.
Todas estas características garantizan una larga duración y resistencia, haciendo de estas sartenes, las mejores del mercado.
Todos los mangos, escepto el de acero inoxidable son de caucho, por lo tanto, al utilizarse con cocina de gas, no tienen problemas de sobrecalentamiento.
Los mangos se pueden desmontar de manera fácil y cómoda gracias a su sistema de fijación de seguridad, siendo mucho más cómodo a la hora de guardarlas en el armario, o incluso, si quieres cocinar en el horno con ellas.
¡Descubre el mundo Castey!";"Pack pareja Castey Classic Yellow";"Pack pareja Castey Classic Yellow";"Pack pareja Castey Classic Yellow";"Pack pareja Castey Classic Yellow";;;;1;;;1;;;"Otras características:Este pack ideal para parejas contiene 
- Sartén de 20cm.
- Sartén de 24cm.
- Sartén de 28cm.
- Cacerola de 24cm. con tapadera de cristal.,Gastos de Envío:Gastos de envío ¡GRATIS! para compras superiores a 89€  exceptuando productos de grandes dimensiones y/o pesos,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
3;1;"Pack trio Castey Yellow";4;127,15 €;31;127,15 €;0;0;0;0;0;3;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack trio de Castey Yellow Line que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad.
Est...";"Descubre el nuevo pack trio de Castey Yellow Line que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad.
Este conjunto Castey incluye:
- Una sartén Castey Yellow Line de 20cm.
- Una sartén Castey Yellow Line de 24cm
- Una sartén Castey Yellow Line de 28cm.
-Una bandeja asador Castey Yellow de 45cm.
- Una cacerola Castey Yellow Line de 28cm. con tapadera de cristal.
Todas estas piezas tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Yellow de Castey es compatible con cocinas de gas y vitrocerámicas, no es apta para cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack trio Castey Yellow";"Pack trio Castey Yellow";"Pack trio Castey Yellow";"Pack trio Castey Yellow";;;;1;;;1;;;"Gastos de Envío:Este producto tiene los gastos de envio GRATIS,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
4;1;"Pack familiar Castey Yellow";4;160,49 €;31;160,49 €;0;0;0;0;0;4;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack familiar de Castey Yellow Line que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad....";"Descubre el nuevo pack familiar de Castey Yellow Line que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad.
Este conjunto Castey incluye:
- Una sartén Castey Yellow Line de 20cm.
- Una sartén Castey Yellow Line de 24cm
- Una sartén Castey Yellow Line de 28cm.
-Una bandeja asador Castey Yellow de 45cm.
- Una cacerola Castey Yellow Line de 28cm. con tapadera de cristal.
- Una cacerola alta Castey Yellow Line de 24cm. con tapadera de cristal.
Todas estas piezas tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Yellow de Castey es compatible con cocinas de gas y vitrocerámicas, no es apta para cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack familiar Castey Yellow";"Pack familiar Castey Yellow";"Pack familiar Castey Yellow";"Pack familiar Castey Yellow";;;;1;;;1;;;"Gastos de Envío:Este producto tiene los gastos de envio GRATIS,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
5;1;"Pack saludable Castey Classic Induction";4;64,95 €;31;64,95 €;0;0;0;0;0;5;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack saludable de Castey Induction Line que hemos diseñado para ti.
Disfruta ya comiendo cocinando a la plancha, con la...";"Descubre el nuevo pack saludable de Castey Induction Line que hemos diseñado para ti.
Disfruta ya comiendo cocinando a la plancha, con la mejor calidad.
Este conjunto Castey incluye:
- Una sartén grill Castey  Induction Line de 27cm.
- Un asador Castey Induction de 40cm. con mango.
- Un delantal Castey.
Tanto la sartén como el asador tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Classic Induction Line de Castey es compatible con cocinas de gas y vitrocerámicas, incluída la cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack saludable Castey Classic Induction";"Pack saludable Castey Classic Induction";"Pack saludable Castey Classic Induction";"Pack saludable Castey Classic Induction";;;;1;;;1;;;"Gastos de Envío:Gastos de envío ¡GRATIS! para compras superiores a 89€  exceptuando productos de grandes dimensiones y/o pesos,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
6;1;"Pack pareja Castey Classic Induction";4;99,95 €;31;99,95 €;0;0;0;0;0;6;;;;;;;;;;;50;1;both;1;;;"El pack de sartenes y cacerola Castey Induction Line tiene como toque de distinción, a parte de la calidad indiscutible que te ofrece Castey, l...";"El pack de sartenes y cacerola Castey Induction Line tiene como toque de distinción, a parte de la calidad indiscutible que te ofrece Castey, la posibilidad de escoger el mango que más te guste(en el caso de las sartenes) ya que son desmontables e intercambiables.
La cacerola contiene unas asas extraíbles, ideales para cocinar con seguridad.
Es apta para todo tipo de cocinas, incluída la cocina de inducción.
El cuerpo de estas sartenes Castey se han manufacturado con aluminio fundido cuyo espesor mejora la elaboración de los alimentos al distribuir de forma homogénea el calor.
La rapidez con la que se calienta y la capacidad para mantener el calor reducen el consumo energético.
También dispone de un fondo difusor de gran espesor para que los alimentos ni se queden poco hechos ni se pasen.
El antiadherente de la cara interior, como siempre en Castey, es de alta calidad para que la limpieza sea fácil y la comida no se pegue.
Por otro lado, Castey ha conseguido que este antiadherente esté libre de sustancias nocivas para el organismo humano como el PFOA y PTFE.
Todas estas características garantizan una larga duración y resistencia, haciendo de estas sartenes, las mejores del mercado.
Todos los mangos, escepto el de acero inoxidable son de caucho, por lo tanto, al utilizarse con cocina de gas, no tienen problemas de sobrecalentamiento.
Los mangos se pueden desmontar de manera fácil y cómoda gracias a su sistema de fijación de seguridad, siendo mucho más cómodo a la hora de guardarlas en el armario, o incluso, si quieres cocinar en el horno con ellas.
¡Descubre el mundo Castey!";"Pack pareja Castey Classic Induction";"Pack pareja Castey Classic Induction";"Pack pareja Castey Classic Induction";"Pack pareja Castey Classic Induction";;;;1;;;1;;;"Otras características:Este pack ideal para parejas contiene 
- Sartén de 20cm.
- Sartén de 24cm.
- Sartén de 28cm.
- Cacerola de 24cm. con tapadera de cristal.,Gastos de Envío:Este producto tiene los gastos de envio GRATIS,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
7;1;"Pack trio Castey Classic Induction";4;144,62 €;31;144,62 €;0;0;0;0;0;7;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack trio de Castey Induction Line que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad.
...";"Descubre el nuevo pack trio de Castey Induction Line que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad.
Este conjunto Castey incluye:
- Una sartén Castey Induction Line de 20cm.
- Una sartén Castey Induction Line de 24cm
- Una sartén Castey Induction Line de 28cm.
- Una asador Castey Induction de 27cm.
- Una cacerola Castey Induction Line de 28cm. con tapadera de cristal.
Todas estas piezas tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Induction de Castey es compatible con cocinas de gas y vitrocerámicas e incluída la cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack trio Castey Classic Induction";"Pack trio Castey Classic Induction";"Pack trio Castey Classic Induction";"Pack trio Castey Classic Induction";;;;1;;;1;;;"Gastos de Envío:Este producto tiene los gastos de envio GRATIS,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
8;1;"Pack familiar Castey Classic Induction";4;176,82 €;31;176,82 €;0;0;0;0;0;8;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack familiar de Castey Classic Induction que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad....";"Descubre el nuevo pack familiar de Castey Classic Induction que hemos diseñado para ti.
Disfruta ya comiendo y cocinando con la mejor calidad.
Este conjunto Castey incluye:
- Una sartén Castey Induction Line de 20cm.
- Una sartén Castey Induction Line de 24cm
- Una sartén Castey Induction Line de 28cm.
-Una sartén grill Castey Induction de 40cm.
- Una cacerola Castey Yellow Line de 28cm. con tapadera de cristal.
-Una cacerola alta Castey Induction Line de 24cm. con tapadera de cristal. 
Todas estas piezas tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Induction de Castey es compatible con cocinas de gas y vitrocerámicas e incluída la cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack familiar Castey Classic Induction";"Pack familiar Castey Classic Induction";"Pack familiar Castey Classic Induction";"Pack familiar Castey Classic Induction";;;;1;;;1;;;"Gastos de Envío:Este producto tiene los gastos de envio GRATIS,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
9;1;"Pack saludable Castey Vulcano";4;86,57 €;31;86,57 €;0;0;0;0;0;9;;;;;;;;;;;50;1;both;1;;;"Descubre el nuevo pack saludable de Castey Vulcano que hemos diseñado para ti.
Disfruta ya comiendo cocinando a la plancha, con la mejor ...";"Descubre el nuevo pack saludable de Castey Vulcano que hemos diseñado para ti.
Disfruta ya comiendo cocinando a la plancha, con la mejor calidad.
Este conjunto Vulcano incluye:
- Una bandeja Vulcano de 45cm.
- Una sartén grill vulcano de 27cm. con mango.
- Un delantal Castey.
Tanto la sartén como el asador tienen un cuerpo de aluminio fundido de gran grosor para que el calor se distribuya de forma homogénea y mejorar la eficiencia energética.
Gracias a esta tecnología los alimentos se cocinan de manera homogénea y veloz.
La línea Castey Vulcano es compatible con cocinas de gas y vitrocerámicas, incluída la cocina de inducción.
El recubrimiento antiadherente está libre de PFOA, se limpia fácilmente y evita que los alimentos se peguen.
Este set es muy cómodo y completo ya que también puedes utilizarlo para cocinar en el horno y puedes lavarlo en el lavavajillas.
¡Descubre los packs Castey!";"Pack saludable Castey Vulcano";"Pack saludable Castey Vulcano";"Pack saludable Castey Vulcano";"Pack saludable Castey Vulcano";;;;1;;;1;;;"Gastos de Envío:¡Este producto tiene los gastos de envío GRATIS!
,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
10;1;"Pack pareja Castey Vulcano";4;130,89 €;31;130,89 €;0;0;0;0;0;10;;;;;;;;;;;50;1;both;1;;;"El pack de sartenes y cacerola Castey Vulcano tiene como toque de distinción, a parte de la calidad indiscutible que te ofrece Castey, la ...";"El pack de sartenes y cacerola Castey Vulcano tiene como toque de distinción, a parte de la calidad indiscutible que te ofrece Castey, la posibilidad de desmontar los mangos, ya que son extraíbles.
La cacerola contiene unas asas de silicona, ideales para cocinar con seguridad.
Es apta para todo tipo de cocinas, incluída la cocina de inducción.
El cuerpo de estas sartenes Castey se han manufacturado con aluminio fundido cuyo espesor mejora la elaboración de los alimentos al distribuir de forma homogénea el calor.
La rapidez con la que se calienta y la capacidad para mantener el calor reducen el consumo energético.
También dispone de un fondo difusor de gran espesor para que los alimentos ni se queden poco hechos ni se pasen.
El antiadherente de la cara interior, como siempre en Castey, es de alta calidad para que la limpieza sea fácil y la comida no se pegue.
Por otro lado, Castey ha conseguido que este antiadherente esté libre de sustancias nocivas para el organismo humano como el PFOA y PTFE.
Todas estas características garantizan una larga duración y resistencia, haciendo de estas sartenes, las mejores del mercado.
El mango al ser de caucho puede utilizarse en cocina de gas, sin tener problemas de sobrecalentamiento.
Los mangos se pueden desmontar de manera fácil y cómoda gracias a su sistema de fijación de seguridad con un botón, siendo mucho más cómodo a la hora de guardarlas en el armario, o incluso, si quieres cocinar en el horno con ellas.
¡Descubre el mundo Castey!";"Pack pareja Castey Vulcano";"Pack pareja Castey Vulcano";"Pack pareja Castey Vulcano";"Pack pareja Castey Vulcano";;;;1;;;1;;;"Otras características:Este pack ideal para parejas contiene 
- Sartén de 18cm.
- Sartén de 22cm.
- Sartén de 26cm.
- Cacerola de 24cm. con tapadera de cristal.,Gastos de Envío:Este producto tiene los gastos de envio GRATIS,Acerca del fabricante:CASTEY  Multinacional española  con sede en Riudellots de la Selva  (Girona)  que aporta más de 400 años de tradición familiar en la fundición del metal. Castey está especializada en la fabricación de productos de cocción de alta calidad para una cocin...,Garantía:Todos los productos Castey tienen una garantía de 2 años.";1;new;0;0;0;0;0;0;0;0
