ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
3;1;Sartenes;2;0;"Si necesitas comprar una sartén o renovar las que tienes, te presentamos una excelente colección de sartenes de las mejores marcas como Castey, BRA, Imex o Tefal,  para que tu elección sea perfecta. Elige la sartén que más se adapta a tus necesidadades, al número habitual de comensales en casa o al tipo de alimentos que preparas habitualmente. También ten en cuenta la cocina que tienes, tenemos sartenes aptas para todo tipo de cocinas como las de inducción, las eléctricas, de gas, de vitrocerámica o halógenas. Puedes elegir entre  fabricadas con los mejores materiales tanto en el cuerpo como en la base, así mejorarás la elaboración de recetas y . Todas tienen  para evitar que los alimentos se peguen y facilitar el limpiado. Para cada alimento escoge la sartén adecuada: sartenes para tortillas, castañeras, sartenes esmaltadas para recetas tradicionales, o sartenes mini para tapas, raciones o huevos fritos. Si eres más de las sartenes tradicionales, sin recubrimiento ni difusor, también tenemos una amplia colección de sartenes de hierro, fabricadas con la mejor calidad que nos garantizada Imex y diseñadas para tanto cocinas de fuego, como vitro, o incluso para leña o carbón.Por último, si no tienes mucho espacio recuerda que hay modelos muy prácticos, por ejemplo con mango desmontable o con la posibilidad de utilizarlas en el horno.";Sartenes;Sartenes;Sartenes;;https://ferreteria.es/media/catalog/category/sartenes_1.jpg
4;1;"Packs especiales";3;0;"Encuentra aquí una gran variedad de packs especiales con las mejores marcas del mercado.En este apartado encontrarás conjuntos Castey, conjuntos Bra, sartenes Le Creuset, sartenes Woll y sets Kuhn Rikon.Todo ello dirigido a parejas, familias, trios y gente sana.¡Descubre los nuevos packs especiales para todos los gustos!¡Descubre los nuevos packs especiales para todos los gustos!";"Packs especiales";"Packs especiales";"Packs especiales";;https://ferreteria.es/media/catalog/category/packs-especiales_2.jpg
5;1;"Packs Castey";4;0;" el pack especial Castey que más se adapte a tus necesidades.   ¡Elige el tuyo y disfruta en la cocina!";"Packs Castey";"Packs Castey";"Packs Castey";;https://ferreteria.es/media/catalog/category/packs-castey.jpg
6;1;"Packs Bra";4;0;"Escoge el pack especial Bra que más se adapte a tus necesidades.   ¡Elige el tuyo y disfruta en la cocina!¡Elige el tuyo y disfruta en la cocina!";"Packs Bra";"Packs Bra";"Packs Bra";;https://ferreteria.es/media/catalog/category/packs-bra.jpg
7;1;"Packs Woll";4;0;"Escoge el pack especial Woll que más se adapte a tus necesidades.   ¡Elige el tuyo y disfruta en la cocina!¡Elige el tuyo y disfruta en la cocina!";"Packs Woll";"Packs Woll";"Packs Woll";;https://ferreteria.es/media/catalog/category/packs-woll.jpg
8;1;"Packs Le Creuset";4;0;"Escoge el pack especial Le Creuset que más se adapte a tus necesidades.   ¡Elige el tuyo y disfruta en la cocina!¡Elige el tuyo y disfruta en la cocina!";"Packs Le Creuset";"Packs Le Creuset";"Packs Le Creuset";;https://ferreteria.es/media/catalog/category/packs-le-creuset.jpg
9;1;"Conjuntos de sartenes";3;0;"Renueva tus sartenes con nosotros.Tengas el tipo de cocina que tengas, aquí puedes escoger entre una variedad de packs de sartenes, tanto para gas vitro o incluso inducción.En este apartado, podrás encontrar sartenes Bra y sartenes Castey entre otras, siempre trabajando con la mejor calidad al mejor precio.Tenemos diferentes gamas, precios y modelos de sartenes, a gusto de todos y cada uno de nuestros consumidores.¡Entra y compruébalo, no te arrepentirás!";"Conjuntos de sartenes";"Conjuntos de sartenes";"Conjuntos de sartenes";;https://ferreteria.es/media/catalog/category/conjuntos-de-sartenes.jpg
10;1;"Sartenes para gas e inducción";3;0;"Renueva tus sartenes con nosotros.Si has cambiado a vitrocerámica de inducción y tienes que cambiar todas tus sartenes, échale un vistazo a este espacio.En este apartado, podrás encontrar sartenes Bra y sartenes Castey entre otras, siempre trabajando con la mejor calidad al mejor precio.Aunque son sartenes especiales para inducción, son aptas para cualquier tipo de cocina, tanto la de gas como vitrocerámica convencional.¡Entra y compruébalo, no te arrepentirás!";"Sartenes para gas e inducción";"Sartenes para gas e inducción";"Sartenes para gas e inducción";;https://ferreteria.es/media/catalog/category/sartenes-de-induccion.jpg
11;1;"Sartenes para gas y vitro";3;0;"Renueva tus sartenes con nosotros.Si tienes cocina de gas o cocina con vitrocerámica y quieres cambiar tus sartenes, échale un vistazo a este espacio.En este apartado, podrás encontrar sartenes Bra y sartenes Castey entre otras, siempre trabajando con la mejor calidad al mejor precio.Estas sartenes son aptas para cocinas de gas y vitrocerámica convencional.¡Entra y compruébalo, no te arrepentirás!";"Sartenes para gas y vitro";"Sartenes para gas y vitro";"Sartenes para gas y vitro";;https://ferreteria.es/media/catalog/category/sartenes-para-gas-y-vitroceramica.jpg
12;1;"Sartenes de titanio";3;0;"Descubre las nuevas sartenes de titanio que hemos seleccionado para ti, para que cocines de forma fácil y eficiente. Estas destacan por sus materiales saludables, sin ninguna clase de elemento tóxico. El titanio es un material extremadamente y consigue, fundido en la sartén, que ésta tenga una , pudiendo cocinar con cualquier tipo de utensilio, a cualquier temperatura, sin apenas aceite.También debemos destacar que, las sartenes de titanio, conservan todo el sabor y los nutrientes de los alimentos. ¡Renueva tu cocina y hazlo con nuestras ! ";"Sartenes de titanio";"Sartenes de titanio";"Sartenes de titanio";;https://ferreteria.es/media/catalog/category/sarten-titanio-induction-woll.jpg
13;1;"Sartenes de hierro";3;0;"Si eres de l@s que les gusta cocinar, con los útiles tradicionales, sin necesidad de recubrimiento antiadherente ni difusor, esta sección está hecha a tu medida. Aquí te ofrecemos varios tipos de , todas hechas de la mejor calidad que te ofrece la prestigiosa marca , especializada en ello.Podrás escoger entre las sartenes de hierro sencillas, las sartenes reforzadas o incluso las sartenes con patas, perfectas para hacer a la leña o con carbón. No dejes de ver lo que hemos preparado para ti y escoge la que más se adapte a tus necesidades y a tus comensales, ya que tienes un mundo de medidas para escoger...así que ya sabes...¡Decídete ya!";"Sartenes de hierro";"Sartenes de hierro";"Sartenes de hierro";;https://ferreteria.es/media/catalog/category/sarten-de-hierro-de-buyer_3.jpg
14;1;"Woks y creperas";3;0;"Si estás pensando comprar un wok has de saber que es una pieza totalmente recomendable para la cocina por varias razones: Permite , con muy poco aceite y que los alimentos mantengan su color, sabor y textura natural. Por otro lado, y manchas en la cocina o la ropa.El wok es muy práctco porque en él se pueden cocinar todo tipo de alimentos, verduras, pescados y mariscos, salsas, pastas, arroces y carnes y de todas las formas posibles. También ahora, hemos agregado sartenes creperas, perfectas para pasar la tarde una tarde divertida, enseñándoles a cocinar unas deliciosas creps, rellenándolas con lo que más te guste.";"Woks y creperas";"Woks y creperas";"Woks y creperas";;https://ferreteria.es/media/catalog/category/woks.jpg
